Rəng,R,G,B,W,D
Red,2074,2984,2775,1793,4095
Red,2072,2984,2776,1792,4095
Red,2073,2984,2773,1792,4095
Red,2072,2983,2775,1794,4095
Red,2071,2982,2776,1792,4095
Red,2072,2983,2781,1794,4095
Red,2073,2981,2776,1802,4095
Red,2070,2982,2776,1793,4095
Red,2072,2977,2776,1792,4095
Red,2073,2984,2777,1794,4095
Red,2074,2983,2778,1794,4095
Red,2073,2981,2776,1792,4095
Red,2074,2982,2776,1795,4095
Red,2073,2982,2774,1794,4095
Red,2073,2982,2778,1794,4095
Red,2074,2983,2777,1798,4095
Red,2072,2981,2776,1797,4095
Red,2073,2982,2776,1793,4095
Red,2073,2985,2775,1792,4095
Red,2072,2983,2776,1786,4095
Red,2073,2983,2777,1793,4095
Red,2074,2983,2776,1794,4095
Red,2072,2982,2775,1791,4095
Red,2072,2981,2777,1797,4095
Red,2073,2982,2775,1794,4095
Red,2073,2983,2778,1796,4095
Red,2074,2983,2776,1794,4095
Red,2075,2982,2776,1793,4095
Red,2073,2989,2777,1794,4095
Red,2073,2983,2776,1796,4095
Red,2074,2980,2775,1792,4095
Red,2073,2985,2777,1795,4095
Red,2072,2982,2771,1792,4095
Red,2073,2982,2775,1792,4095
Red,2073,2983,2777,1789,4095
Red,2073,2983,2776,1792,4095
Red,2073,2978,2776,1793,4095
Red,2073,2982,2774,1794,4095
Red,2073,2984,2776,1795,4095
Red,2072,2983,2775,1792,4095
Red,2073,2979,2777,1793,4095
Red,2074,2984,2777,1794,4095
Red,2072,2982,2775,1793,4095
Red,2071,2982,2776,1794,4095
Red,2070,2981,2776,1791,4095
Red,2072,2988,2777,1792,4095
Red,2073,2984,2778,1791,4095
Red,2073,2981,2776,1798,4095
Red,2074,2983,2778,1792,4095
Red,2073,2983,2772,1793,4095
Red,2073,2982,2778,1790,4095
Red,2074,2984,2777,1793,4095
Red,2072,2983,2776,1791,4095
Red,2073,2983,2770,1791,4095
Red,2073,2983,2775,1792,4095
Red,2075,2983,2776,1797,4095
Red,2072,2985,2775,1793,4095
Red,2074,2986,2774,1794,4095
Red,2073,2983,2779,1793,4095
Red,2075,2983,2777,1792,4095
Red,2073,2987,2777,1792,4095
Red,2073,2981,2774,1790,4095
Red,2073,2984,2775,1793,4095
Red,2072,2983,2776,1790,4095
Red,2074,2980,2776,1794,4095
Red,2073,2982,2778,1792,4095
Red,2073,2981,2777,1796,4095
Red,2076,2983,2776,1796,4095
Red,2071,2979,2775,1793,4095
Red,2072,2983,2776,1792,4095
Red,2074,2983,2776,1792,4095
Red,2073,2983,2776,1794,4095
Red,2075,2980,2777,1792,4095
Red,2073,2983,2776,1792,4095
Red,2073,2982,2776,1793,4095
Red,2073,2983,2775,1793,4095
Red,2072,2982,2777,1792,4095
Red,2072,2983,2779,1794,4095
Red,2073,2982,2776,1796,4095
Red,2072,2983,2775,1795,4095
Red,2073,2983,2776,1793,4095
Red,2074,2984,2776,1793,4095
Red,2072,2983,2774,1792,4095
Red,2073,2983,2776,1793,4095
Red,2073,2983,2776,1794,4095
Red,2073,2983,2774,1795,4095
Red,2073,2982,2777,1793,4095
Red,2072,2986,2775,1793,4095
Red,2073,2982,2776,1791,4095
Red,2071,2984,2777,1793,4095
Red,2073,2980,2774,1791,4095
Red,2072,2983,2774,1793,4095
Red,2073,2982,2776,1794,4095
Red,2072,2980,2775,1793,4095
Red,2074,2983,2776,1791,4095
Red,2073,2982,2775,1794,4095
Red,2074,2982,2776,1795,4095
Red,2072,2982,2776,1793,4095
Red,2072,2980,2775,1792,4095
Red,2073,2980,2773,1790,4095
Red,2072,2983,2774,1790,4095
Red,2072,2982,2775,1792,4095
Red,2075,2983,2778,1794,4095
Red,2073,2983,2778,1791,4095
Red,2073,2982,2772,1789,4095
Red,2073,2981,2776,1793,4095
Red,2072,2982,2776,1791,4095
Red,2073,2983,2773,1793,4095
Red,2073,2983,2776,1797,4095
Red,2073,2983,2775,1794,4095
Red,2074,2984,2777,1792,4095
Red,2074,2982,2777,1792,4095
Red,2072,2984,2774,1792,4095
Red,2072,2981,2776,1795,4095
Red,2071,2982,2775,1791,4095
Red,2073,2981,2775,1793,4095
Red,2073,2982,2771,1792,4095
Red,2072,2982,2775,1792,4095
Red,2073,2982,2775,1793,4095
Red,2072,2982,2774,1791,4095
Red,2073,2981,2777,1791,4095
Red,2073,2982,2775,1797,4095
Red,2072,2983,2776,1790,4095
Red,2073,2987,2774,1793,4095
Red,2072,2983,2776,1793,4095
Red,2072,2983,2774,1795,4095
Red,2072,2981,2775,1791,4095
Red,2073,2984,2775,1794,4095
Red,2073,2981,2777,1792,4095
Red,2072,2983,2776,1791,4095
Red,2073,2983,2776,1793,4095
Red,2073,2981,2782,1792,4095
Red,2072,2982,2778,1795,4095
Red,2073,2983,2775,1788,4095
Red,2074,2988,2775,1793,4095
Red,2074,2984,2781,1791,4095
Red,2072,2982,2775,1789,4095
Red,2074,2983,2775,1791,4095
Red,2071,2983,2775,1790,4095
Red,2072,2981,2774,1791,4095
Red,2072,2981,2776,1787,4095
Red,2071,2981,2774,1790,4095
Red,2072,2984,2774,1791,4095
Red,2073,2982,2774,1791,4095
Red,2073,2981,2776,1792,4095
Red,2072,2982,2776,1792,4095
Red,2073,2982,2774,1791,4095
Red,2073,2981,2774,1791,4095
Red,2072,2982,2774,1791,4095
Red,2073,2982,2775,1793,4095
Red,2073,2982,2776,1794,4095
Red,2073,2983,2779,1791,4095
Red,2074,2983,2775,1794,4095
Red,2070,2980,2775,1791,4095
Red,2073,2983,2775,1793,4095
Red,2073,2983,2777,1792,4095
Red,2074,2982,2774,1789,4095
Red,2071,2983,2772,1791,4095
Red,2073,2982,2773,1790,4095
Red,2071,2981,2773,1791,4095
Red,2073,2984,2774,1791,4095
Red,2074,2985,2775,1792,4095
Red,2072,2982,2772,1791,4095
Red,2072,2982,2776,1787,4095
Red,2072,2980,2774,1792,4095
Red,2071,2980,2774,1791,4095
Red,2072,2981,2776,1792,4095
Red,2072,2981,2777,1793,4095
Red,2073,2983,2772,1791,4095
Red,2071,2982,2775,1791,4095
Red,2072,2983,2776,1793,4095
Red,2070,2980,2775,1791,4095
Red,2074,2982,2774,1790,4095
Red,2072,2980,2773,1790,4095
Red,2072,2982,2775,1788,4095
Red,2072,2983,2774,1787,4095
Red,2072,2980,2775,1789,4095
